Image,Predicted-Lymphocyte_x,Predicted-Lymphocyte_y
img_341,0,15.0
img_342,0,6.0
img_343,0,5.0
img_344,0,1.0
img_345,0,0.0
img_346,0,1.0
img_347,0,0.0
img_348,0,6.0
img_349,0,2.0
img_350,0,0.0
img_351,0,0.0
img_352,0,33.0
img_353,0,1.0
img_354,0,2.0
img_355,0,3.0
img_356,0,0.0
img_357,0,5.0
img_358,0,2.0
img_359,0,0.0
img_360,0,14.0
img_361,0,0.0
img_362,0,1.0
img_363,0,3.0
img_364,0,0.0
img_365,0,0.0
img_366,0,3.0
img_367,0,0.0
img_368,0,1.0
img_369,0,4.0
img_370,0,1.0
img_371,0,9.0
img_372,0,3.0
img_373,0,1.0
img_374,0,0.0
img_375,0,3.0
img_376,0,1.0
img_377,0,2.0
img_378,0,5.0
img_379,0,13.0
img_380,0,3.0
img_381,0,8.0
img_382,0,7.0
img_383,0,1.0
img_384,0,5.0
img_385,0,1.0
img_386,0,1.0
img_387,0,2.0
img_388,0,3.0
img_389,0,1.0
img_390,0,1.0
img_391,0,5.0
img_392,0,9.0
img_393,0,3.0
img_394,0,1.0
img_395,0,8.0
img_396,0,0.0
img_397,0,1.0
img_398,0,3.0
img_399,0,6.0
img_400,0,2.0
img_401,0,0.0
img_402,0,1.0
img_403,0,0.0
img_404,0,2.0
img_405,0,5.0
img_406,0,0.0
img_407,0,7.0
img_408,0,1.0
img_409,0,1.0
img_410,0,0.0
img_411,0,2.0
img_412,0,0.0
img_413,0,2.0
img_414,0,2.0
img_415,0,6.0
img_416,0,0.0
img_417,0,2.0
img_418,0,2.0
img_419,0,0.0
img_420,0,0.0
img_421,0,2.0
img_422,0,2.0
img_423,0,1.0
img_424,0,1.0
img_425,0,6.0
img_426,0,2.0
img_427,0,4.0
img_428,0,2.0
img_429,0,1.0
img_430,0,2.0
img_431,0,0.0
img_432,0,3.0
img_433,0,2.0
img_434,0,26.0
img_435,0,2.0
img_436,0,4.0
img_437,0,13.0
img_438,0,5.0
img_439,0,3.0
img_440,0,2.0
img_441,0,0.0
img_442,0,8.0
img_443,0,0.0
img_444,0,5.0
img_445,0,1.0
img_446,0,0.0
img_447,0,8.0
img_448,0,3.0
img_449,0,4.0
img_450,0,0.0
img_451,0,2.0
img_452,0,5.0
img_453,0,1.0
img_454,0,10.0
img_455,0,0.0
img_456,0,0.0
img_457,0,1.0
img_458,0,2.0
img_459,0,9.0
img_460,0,4.0
img_461,0,0.0
img_462,0,3.0
img_463,0,7.0
img_464,0,0.0
img_465,0,5.0
img_466,0,1.0
img_467,0,5.0
img_468,0,8.0
img_469,0,0.0
img_470,0,2.0
img_471,0,2.0
img_472,0,4.0
img_473,0,16.0
img_474,0,0.0
img_475,0,0.0
img_476,0,6.0
img_477,0,5.0
img_478,0,0.0
img_479,0,2.0
img_480,0,17.0
img_481,0,0.0
img_482,0,3.0
img_483,0,2.0
img_484,0,10.0
img_485,0,17.0
img_486,0,8.0
img_487,0,1.0
img_488,0,1.0
img_489,0,0.0
img_490,0,2.0
img_491,0,12.0
img_492,0,0.0
img_493,0,1.0
img_494,0,2.0
img_495,0,4.0
img_496,0,3.0
img_497,0,1.0
img_498,0,12.0
img_499,0,3.0
img_500,0,3.0
img_501,0,0.0
img_502,0,4.0
img_503,0,2.0
img_504,0,1.0
img_505,0,2.0
img_506,0,2.0
img_507,0,1.0
img_508,0,7.0
img_509,0,5.0
img_510,0,0.0
img_511,0,0.0
img_512,0,0.0
img_513,0,14.0
img_514,0,2.0
img_515,0,5.0
img_516,0,0.0
img_517,0,9.0
img_518,0,1.0
img_519,0,0.0
img_520,0,0.0
img_521,0,6.0
img_522,0,0.0
img_523,0,0.0
img_524,0,0.0
img_525,0,0.0
img_526,0,8.0
img_527,0,1.0
img_528,0,0.0
img_529,0,1.0
img_530,0,1.0
img_531,0,2.0
img_532,0,0.0
img_533,0,4.0
img_534,0,0.0
img_535,0,1.0
img_536,0,0.0
img_537,0,12.0
img_538,0,1.0
img_539,0,2.0
img_540,0,16.0
img_541,0,1.0
img_542,0,4.0
img_543,0,0.0
img_544,0,23.0
img_545,0,3.0
img_546,0,1.0
img_547,0,5.0
img_548,0,0.0
img_549,0,2.0
img_550,0,1.0
img_551,0,11.0
img_552,0,0.0
img_553,0,1.0
img_554,0,0.0
img_555,0,1.0
img_556,0,0.0
img_557,0,15.0
img_558,0,2.0
img_559,0,0.0
img_560,0,2.0
img_561,0,3.0
img_562,0,0.0
img_563,0,0.0
img_564,0,0.0
img_565,0,6.0
img_566,0,0.0
img_567,0,2.0
img_568,0,2.0
img_569,0,3.0
img_570,0,5.0
img_571,0,0.0
img_572,0,3.0
img_573,0,0.0
img_574,0,2.0
img_575,0,1.0
img_576,0,1.0
img_577,0,0.0
img_578,0,3.0
img_579,0,0.0
img_580,0,0.0
img_581,0,3.0
img_582,0,1.0
img_583,0,3.0
img_584,0,1.0
img_585,0,1.0
img_586,0,17.0
img_587,0,0.0
img_588,0,4.0
img_589,0,16.0
img_590,0,0.0
img_591,0,0.0
img_592,0,0.0
img_593,0,16.0
img_594,0,3.0
img_595,0,1.0
img_596,0,0.0
img_597,0,5.0
img_598,0,1.0
img_599,0,2.0
img_600,0,1.0
img_601,0,2.0
img_602,0,0.0
img_603,0,4.0
img_604,0,6.0
img_605,0,3.0
img_606,0,1.0
img_607,0,0.0
img_608,0,0.0
img_609,0,7.0
img_610,0,5.0
img_611,0,0.0
img_612,0,0.0
img_613,0,1.0
img_614,0,1.0
img_615,0,4.0
img_616,0,0.0
img_617,0,3.0
img_618,0,8.0
img_619,0,0.0
img_620,0,1.0
img_621,0,0.0
img_622,0,11.0
img_623,0,3.0
img_624,0,2.0
img_625,0,2.0
img_626,0,0.0
img_627,0,0.0
img_628,0,0.0
img_629,0,11.0
img_630,0,1.0
img_631,0,0.0
img_632,0,2.0
img_633,0,1.0
img_634,0,4.0
img_635,0,8.0
img_636,0,1.0
img_637,0,5.0
img_638,0,2.0
img_639,0,1.0
img_640,0,27.0
img_641,0,2.0
img_642,0,0.0
img_643,0,1.0
img_644,0,0.0
img_645,0,2.0
img_646,0,6.0
img_647,0,0.0
img_648,0,3.0
img_649,0,1.0
img_650,0,0.0
img_651,0,1.0
img_652,0,1.0
img_653,0,2.0
img_654,0,4.0
img_655,0,0.0
img_656,0,7.0
img_657,0,0.0
img_658,0,1.0
img_659,0,3.0
img_660,0,1.0
img_661,0,1.0
img_662,0,3.0
img_663,0,4.0
img_664,0,14.0
img_665,0,1.0
img_666,0,1.0
img_667,0,2.0
img_668,0,7.0
img_669,0,0.0
img_670,0,5.0
img_671,0,3.0
img_672,0,0.0
img_673,0,3.0
img_674,0,1.0
img_675,0,6.0
img_676,0,0.0
img_677,0,14.0
img_678,0,6.0
img_679,0,2.0
img_680,0,3.0
img_681,0,1.0
img_682,0,0.0
img_683,0,3.0
img_684,0,1.0
img_685,0,0.0
img_686,0,19.0
img_687,0,0.0
img_688,0,0.0
img_689,0,3.0
img_690,0,10.0
img_691,0,2.0
img_692,0,1.0
img_693,0,6.0
img_694,0,2.0
img_695,0,7.0
img_696,0,0.0
img_697,0,1.0
img_698,0,0.0
img_699,0,2.0
img_700,0,4.0
img_701,0,5.0
img_702,0,4.0
img_703,0,5.0
img_704,0,0.0
img_705,0,3.0
img_706,0,3.0
img_707,0,0.0
img_708,0,2.0
img_709,0,2.0
img_710,0,3.0
img_711,0,3.0
img_712,0,0.0
img_713,0,9.0
img_714,0,16.0
img_715,0,2.0
img_716,0,7.0
img_717,0,0.0
img_718,0,2.0
img_719,0,1.0
img_720,0,2.0
img_721,0,1.0
img_722,0,1.0
img_723,0,0.0
img_724,0,0.0
img_725,0,1.0
img_726,0,2.0
img_727,0,0.0
img_728,0,0.0
img_729,0,0.0
img_730,0,13.0
img_731,0,2.0
img_732,0,9.0
img_733,0,1.0
img_734,0,7.0
img_735,0,13.0
img_736,0,6.0
img_737,0,5.0
img_738,0,7.0
img_739,0,3.0
img_740,0,1.0
img_741,0,6.0
img_742,0,10.0
img_743,0,1.0
img_744,0,2.0
img_745,0,0.0
img_746,0,1.0
img_747,0,3.0
img_748,0,0.0
img_749,0,5.0
img_750,0,1.0
img_751,0,1.0
img_752,0,11.0
img_753,0,10.0
img_754,0,8.0
img_755,0,4.0
img_756,0,0.0
img_757,0,1.0
img_758,0,2.0
img_759,0,2.0
img_760,0,8.0
img_761,0,4.0
img_762,0,7.0
img_763,0,9.0
img_764,0,2.0
img_765,0,18.0
img_766,0,0.0
img_767,0,4.0
img_768,0,1.0
img_769,0,3.0
img_770,0,0.0
img_771,0,5.0
img_772,0,0.0
img_773,0,3.0
img_774,0,1.0
img_775,0,4.0
img_776,0,3.0
img_777,0,0.0
img_778,0,2.0
img_779,0,2.0
img_780,0,2.0
img_781,0,3.0
img_782,0,0.0
img_783,0,4.0
img_784,0,1.0
img_785,0,6.0
img_786,0,3.0
img_787,0,2.0
img_788,0,3.0
img_789,0,7.0
img_790,0,0.0
img_791,0,4.0
img_792,0,0.0
img_793,0,6.0
img_794,0,5.0
img_795,0,2.0
img_796,0,0.0
img_797,0,5.0
img_798,0,6.0
img_799,0,8.0
img_800,0,4.0
img_801,0,1.0
img_802,0,5.0
img_803,0,0.0
img_804,0,0.0
img_805,0,5.0
img_806,0,1.0
img_807,0,2.0
img_808,0,0.0
img_809,0,4.0
img_810,0,0.0
img_811,0,1.0
img_812,0,0.0
img_813,0,2.0
img_814,0,4.0
img_815,0,9.0
img_816,0,1.0
img_817,0,1.0
img_818,0,1.0
img_819,0,4.0
img_820,0,2.0
img_821,0,0.0
img_822,0,3.0
img_823,0,5.0
img_824,0,0.0
img_825,0,3.0
img_826,0,5.0
img_827,0,0.0
img_828,0,3.0
img_829,0,2.0
img_830,0,0.0
img_831,0,2.0
img_832,0,0.0
img_833,0,8.0
img_834,0,0.0
img_835,0,1.0
img_836,0,2.0
img_837,0,8.0
img_838,0,0.0
img_839,0,2.0
img_840,0,0.0
img_841,0,2.0
img_842,0,1.0
img_843,0,12.0
img_844,0,0.0
img_845,0,0.0
img_846,0,15.0
img_847,0,11.0
img_848,0,0.0
img_849,0,12.0
img_850,0,9.0
img_851,0,3.0
img_852,0,0.0
img_853,0,13.0
img_854,0,1.0
img_855,0,0.0
img_856,0,4.0
img_857,0,2.0
img_858,0,2.0
img_859,0,9.0
img_860,0,5.0
img_861,0,0.0
img_862,0,0.0
img_863,0,1.0
img_864,0,2.0
img_865,0,0.0
img_866,0,9.0
img_867,0,2.0
img_868,0,5.0
img_869,0,1.0
img_870,0,1.0
img_871,0,3.0
img_872,0,0.0
img_873,0,0.0
img_874,0,4.0
img_875,0,0.0
img_876,0,1.0
img_877,0,2.0
img_878,0,1.0
img_879,0,2.0
img_880,0,7.0
img_881,0,0.0
img_882,0,1.0
img_883,0,0.0
img_884,0,3.0
img_885,0,1.0
img_886,0,2.0
img_887,0,0.0
img_888,0,1.0
img_889,0,2.0
img_890,0,7.0
img_891,0,5.0
img_892,0,0.0
img_893,0,1.0
img_894,0,1.0
img_895,0,1.0
img_896,0,3.0
img_897,0,2.0
img_898,0,5.0
img_899,0,1.0
img_900,0,0.0
img_901,0,0.0
img_902,0,1.0
img_903,0,29.0
img_904,0,1.0
img_905,0,9.0
img_906,0,1.0
img_907,0,1.0
img_908,0,5.0
img_909,0,0.0
img_910,0,3.0
img_911,0,1.0
img_912,0,2.0
img_913,0,0.0
img_914,0,2.0
img_915,0,0.0
img_916,0,0.0
img_917,0,0.0
img_918,0,4.0
img_919,0,4.0
img_920,0,14.0
img_921,0,2.0
img_922,0,2.0
img_923,0,11.0
img_924,0,1.0
img_925,0,3.0
img_926,0,3.0
img_927,0,0.0
img_928,0,2.0
img_929,0,1.0
img_930,0,2.0
img_931,0,2.0
img_932,0,9.0
img_933,0,4.0
img_934,0,0.0
img_935,0,1.0
img_936,0,0.0
img_937,0,12.0
img_938,0,2.0
img_939,0,8.0
img_940,0,2.0
img_941,0,10.0
img_942,0,5.0
img_943,0,1.0
img_944,0,0.0
img_945,0,0.0
img_946,0,3.0
img_947,0,5.0
img_948,0,5.0
img_949,0,1.0
img_950,0,2.0
img_951,0,0.0
img_952,0,0.0
img_953,0,1.0
img_954,0,1.0
img_955,0,3.0
img_956,0,3.0
img_957,0,0.0
img_958,0,0.0
img_959,0,0.0
img_960,0,3.0
img_961,0,4.0
img_962,0,0.0
img_963,0,6.0
img_964,0,3.0
img_965,0,1.0
img_966,0,7.0
img_967,0,1.0
img_968,0,2.0
img_969,0,2.0
img_970,0,0.0
img_971,0,0.0
img_972,0,7.0
img_973,0,0.0
img_974,0,0.0
img_975,0,1.0
img_976,0,2.0
img_977,0,5.0
img_978,0,0.0
img_979,0,11.0
img_980,0,3.0
img_981,0,12.0
img_982,0,7.0
img_983,0,7.0
img_984,0,8.0
img_985,0,2.0
img_986,0,16.0
img_987,0,8.0
img_988,0,6.0
img_989,0,8.0
img_990,0,4.0
img_991,0,2.0
img_992,0,11.0
img_993,0,2.0
img_994,0,0.0
img_995,0,5.0
img_996,0,5.0
img_997,0,2.0
img_998,0,3.0
img_999,0,4.0
img_1000,0,7.0
img_1001,0,9.0
img_1002,0,2.0
img_1003,0,13.0
img_1004,0,4.0
img_1005,0,9.0
img_1006,0,2.0
img_1007,0,1.0
img_1008,0,5.0
img_1009,0,3.0
img_1010,0,3.0
img_1011,0,0.0
img_1012,0,0.0
img_1013,0,0.0
img_1014,0,4.0
img_1015,0,0.0
img_1016,0,2.0
img_1017,0,2.0
img_1018,0,3.0
img_1019,0,5.0
img_1020,0,2.0
img_1021,0,0.0
img_1022,0,7.0
img_1023,0,0.0
img_1024,0,1.0
img_1025,0,2.0
img_1026,0,1.0
img_1027,0,7.0
img_1028,0,5.0
img_1029,0,4.0
img_1030,0,2.0
img_1031,0,3.0
img_1032,0,9.0
img_1033,0,0.0
img_1034,0,15.0
img_1035,0,1.0
img_1036,0,0.0
img_1037,0,9.0
img_1038,0,4.0
img_1039,0,2.0
img_1040,0,2.0
img_1041,0,3.0
img_1042,0,1.0
img_1043,0,4.0
img_1044,0,0.0
img_1045,0,4.0
img_1046,0,11.0
img_1047,0,2.0
img_1048,0,0.0
img_1049,0,1.0
img_1050,0,4.0
img_1051,0,1.0
img_1052,0,5.0
img_1053,0,21.0
img_1054,0,1.0
img_1055,0,3.0
img_1056,0,0.0
img_1057,0,1.0
img_1058,0,6.0
img_1059,0,1.0
img_1060,0,1.0
img_1061,0,17.0
img_1062,0,2.0
img_1063,0,1.0
img_1064,0,5.0
img_1065,0,1.0
img_1066,0,5.0
img_1067,0,2.0
img_1068,0,4.0
img_1069,0,17.0
img_1070,0,2.0
img_1071,0,12.0
img_1072,0,3.0
img_1073,0,4.0
img_1074,0,5.0
img_1075,0,2.0
img_1076,0,9.0
img_1077,0,0.0
img_1078,0,0.0
img_1079,0,0.0
img_1080,0,1.0
img_1081,0,2.0
img_1082,0,1.0
img_1083,0,3.0
img_1084,0,2.0
img_1085,0,4.0
img_1086,0,0.0
img_1087,0,1.0
img_1088,0,2.0
img_1089,0,3.0
img_1090,0,5.0
img_1091,0,0.0
img_1092,0,2.0
img_1093,0,1.0
img_1094,0,0.0
img_1095,0,5.0
img_1096,0,11.0
img_1097,0,5.0
img_1098,0,8.0
img_1099,0,3.0
img_1100,0,1.0
img_1101,0,1.0
img_1102,0,0.0
img_1103,0,0.0
img_1104,0,2.0
img_1105,0,2.0
img_1106,0,1.0
img_1107,0,7.0
img_1108,0,11.0
img_1109,0,2.0
img_1110,0,2.0
img_1111,0,0.0
img_1112,0,1.0
img_1113,0,0.0
img_1114,0,1.0
img_1115,0,4.0
img_1116,0,0.0
img_1117,0,1.0
img_1118,0,4.0
img_1119,0,1.0
img_1120,0,2.0
img_1121,0,10.0
img_1122,0,0.0
img_1123,0,3.0
img_1124,0,15.0
img_1125,0,2.0
img_1126,0,3.0
img_1127,0,6.0
img_1128,0,0.0
img_1129,0,0.0
img_1130,0,1.0
img_1131,0,2.0
img_1132,0,2.0
img_1133,0,2.0
img_1134,0,4.0
img_1135,0,1.0
img_1136,0,0.0
img_1137,0,2.0
img_1138,0,1.0
img_1139,0,4.0
img_1140,0,4.0
img_1141,0,3.0
img_1142,0,0.0
img_1143,0,1.0
img_1144,0,4.0
img_1145,0,10.0
img_1146,0,3.0
img_1147,0,1.0
img_1148,0,7.0
img_1149,0,6.0
img_1150,0,4.0
img_1151,0,7.0
img_1152,0,8.0
img_1153,0,0.0
img_1154,0,0.0
img_1155,0,0.0
img_1156,0,6.0
img_1157,0,6.0
img_1158,0,6.0
img_1159,0,2.0
img_1160,0,2.0
img_1161,0,2.0
img_1162,0,6.0
img_1163,0,1.0
img_1164,0,6.0
img_1165,0,2.0
img_1166,0,0.0
img_1167,0,2.0
img_1168,0,3.0
img_1169,0,1.0
img_1170,0,1.0
img_1171,0,0.0
img_1172,0,1.0
img_1173,0,1.0
img_1174,0,2.0
img_1175,0,7.0
img_1176,0,16.0
img_1177,0,1.0
img_1178,0,5.0
img_1179,0,3.0
img_1180,0,9.0
img_1181,0,0.0
img_1182,0,2.0
img_1183,0,0.0
img_1184,0,0.0
img_1185,0,8.0
img_1186,0,2.0
img_1187,0,0.0
img_1188,0,6.0
img_1189,0,0.0
img_1190,0,0.0
img_1191,0,0.0
img_1192,0,2.0
img_1193,0,0.0
img_1194,0,0.0
img_1195,0,2.0
img_1196,0,0.0
img_1197,0,1.0
img_1198,0,0.0
img_1199,0,8.0
img_1200,0,3.0
img_1201,0,5.0
img_1202,0,1.0
img_1203,0,1.0
img_1204,0,17.0
img_1205,0,0.0
img_1206,0,26.0
img_1207,0,0.0
img_1208,0,3.0
img_1209,0,4.0
img_1210,0,0.0
img_1211,0,0.0
img_1212,0,0.0
img_1213,0,0.0
img_1214,0,2.0
img_1215,0,0.0
img_1216,0,3.0
img_1217,0,1.0
img_1218,0,0.0
img_1219,0,3.0
img_1220,0,3.0
img_1221,0,5.0
img_1222,0,17.0
img_1223,0,3.0
img_1224,0,1.0
img_1225,0,5.0
img_1226,0,3.0
img_1227,0,1.0
img_1228,0,8.0
img_1229,0,0.0
img_1230,0,0.0
img_1231,0,0.0
img_1232,0,0.0
img_1233,0,1.0
img_1234,0,4.0
img_1235,0,1.0
img_1236,0,1.0
img_1237,0,3.0
img_1238,0,5.0
img_1239,0,2.0
img_1240,0,2.0
img_1241,0,6.0
img_1242,0,1.0
img_1243,0,5.0
img_1244,0,9.0
img_1245,0,7.0
img_1246,0,1.0
img_1247,0,0.0
img_1248,0,8.0
img_1249,0,4.0
img_1250,0,7.0
img_1251,0,2.0
img_1252,0,2.0
img_1253,0,1.0
img_1254,0,0.0
img_1255,0,0.0
img_1256,0,0.0
img_1257,0,2.0
img_1258,0,1.0
img_1259,0,3.0
img_1260,0,4.0
img_1261,0,1.0
img_1262,0,1.0
img_1263,0,0.0
img_1264,0,3.0
img_1265,0,2.0
img_1266,0,1.0
img_1267,0,2.0
img_1268,0,4.0
img_1269,0,1.0
img_1270,0,6.0
img_1271,0,4.0
img_1272,0,4.0
img_1273,0,2.0
img_1274,0,0.0
img_1275,0,1.0
img_1276,0,4.0
img_1277,0,2.0
img_1278,0,1.0
img_1279,0,4.0
img_1280,0,8.0
img_1281,0,3.0
img_1282,0,0.0
img_1283,0,1.0
img_1284,0,6.0
img_1285,0,0.0
img_1286,0,0.0
img_1287,0,0.0
img_1288,0,0.0
img_1289,0,0.0
img_1290,0,5.0
img_1291,0,1.0
img_1292,0,1.0
img_1293,0,2.0
img_1294,0,4.0
img_1295,0,1.0
img_1296,0,1.0
img_1297,0,11.0
img_1298,0,3.0
img_1299,0,2.0
img_1300,0,3.0
img_1301,0,1.0
img_1302,0,17.0
img_1303,0,7.0
img_1304,0,10.0
img_1305,0,3.0
img_1306,0,10.0
img_1307,0,1.0
img_1308,0,0.0
img_1309,0,4.0
img_1310,0,1.0
img_1311,0,17.0
img_1312,0,4.0
img_1313,0,1.0
img_1314,0,0.0
img_1315,0,4.0
img_1316,0,0.0
img_1317,0,1.0
img_1318,0,0.0
img_1319,0,2.0
img_1320,0,2.0
img_1321,0,9.0
img_1322,0,0.0
img_1323,0,6.0
img_1324,0,20.0
img_1325,0,0.0
img_1326,0,2.0
img_1327,0,2.0
img_1328,0,1.0
img_1329,0,2.0
img_1330,0,0.0
img_1331,0,0.0
img_1332,0,14.0
img_1333,0,0.0
img_1334,0,5.0
img_1335,0,2.0
img_1336,0,7.0
img_1337,0,0.0
img_1338,0,0.0
img_1339,0,9.0
img_1340,0,10.0
img_1341,0,1.0
img_1342,0,1.0
img_1343,0,2.0
img_1344,0,2.0
img_1345,0,2.0
img_1346,0,1.0
img_1347,0,3.0
img_1348,0,4.0
img_1349,0,2.0
img_1350,0,0.0
img_1351,0,4.0
img_1352,0,6.0
img_1353,0,3.0
img_1354,0,16.0
img_1355,0,2.0
img_1356,0,1.0
