Image,Ground-truth,Predicted-Lymphocyte_y
img_357,5,4
img_358,1,1
img_359,2,0
img_360,35,16
img_361,0,0
img_362,2,1
img_363,2,2
img_364,0,0
img_365,0,0
img_366,4,2
img_367,1,0
img_368,0,1
img_369,0,4
img_370,2,0
img_371,6,10
img_372,3,2
img_373,0,0
img_374,2,0
img_375,1,1
img_376,0,1
img_377,1,0
img_378,1,5
img_379,12,13
img_380,4,2
img_381,4,7
img_382,4,5
img_383,1,1
img_384,1,5
img_385,1,0
img_386,1,0
img_387,2,2
img_388,3,2
img_389,1,0
img_390,0,1
img_391,3,4
img_392,10,1
img_393,0,0
img_394,2,1
img_395,6,5
img_396,0,0
img_397,1,1
img_398,3,1
img_399,7,3
img_400,1,2
img_401,1,0
img_402,1,1
img_403,4,2
img_404,0,0
img_405,3,0
img_406,0,0
img_407,3,7
img_408,3,0
img_409,2,1
img_410,0,0
img_411,2,2
img_412,2,0
img_413,1,3
img_414,8,1
img_415,31,9
img_416,1,0
img_417,1,2
img_418,1,1
img_419,0,0
img_420,4,0
img_421,1,1
img_422,0,0
img_423,1,1
img_424,1,1
img_425,2,5
img_426,1,1
img_427,2,2
img_428,1,1
img_429,1,0
img_430,11,1
img_431,4,0
img_432,2,3
img_433,1,1
img_434,16,12
img_435,0,0
img_436,6,4
img_437,12,16
img_438,9,8
img_439,1,3
img_440,1,2
img_441,0,0
img_442,7,9
img_443,1,0
img_444,3,5
img_445,1,1
img_446,0,0
img_447,11,3
img_448,2,3
img_449,4,4
img_450,1,0
img_451,1,0
img_452,37,6
img_453,1,1
img_454,9,6
img_455,1,0
img_456,0,0
img_457,1,1
img_458,2,2
img_459,5,8
img_460,7,3
img_461,2,2
img_462,4,0
img_463,9,7
img_464,3,0
img_465,1,4
img_466,2,1
img_467,2,5
img_468,2,7
img_469,0,0
img_470,1,1
img_471,2,0
img_472,4,6
img_473,30,16
img_474,0,0
img_475,0,0
img_476,3,4
img_477,6,5
img_478,1,0
img_479,3,2
img_480,12,17
img_481,0,0
img_482,2,1
img_483,2,2
img_484,11,9
img_485,11,11
img_486,6,4
img_487,1,1
img_488,1,1
img_489,1,0
img_490,1,0
img_491,10,8
img_492,0,0
img_493,0,0
img_494,1,0
img_495,9,4
img_496,18,3
img_497,1,2
img_498,8,11
img_499,4,2
img_500,2,2
img_501,1,0
img_502,2,4
img_503,1,1
img_504,1,1
img_505,1,1
img_506,2,1
img_507,1,1
img_508,8,5
img_509,3,3
img_510,2,0
img_511,0,0
img_512,0,0
img_513,11,17
img_514,2,1
img_515,5,4
img_516,3,0
img_517,4,8
img_518,1,1
img_519,0,0
img_520,0,0
img_521,3,5
img_522,2,0
img_523,0,0
img_524,0,0
img_525,0,0
img_526,9,7
img_527,1,1
img_528,0,0
img_529,1,0
img_530,1,1
img_531,4,2
img_532,4,2
img_533,2,2
img_534,1,0
img_535,2,1
img_536,1,0
img_537,12,6
img_538,0,1
img_539,2,2
img_540,11,13
img_541,1,0
img_542,2,4
img_543,0,0
img_544,15,22
img_545,7,0
img_546,1,1
img_547,5,4
img_548,0,0
img_549,4,1
img_550,1,1
img_551,8,12
img_552,0,0
img_553,1,1
img_554,0,0
img_555,0,0
img_556,0,0
img_557,15,13
img_558,2,0
img_559,1,0
img_560,4,2
img_561,1,3
img_562,0,0
img_563,0,0
img_564,0,0
img_565,2,6
img_566,0,0
img_567,5,2
img_568,4,2
img_569,3,3
img_570,3,2
img_571,1,0
img_572,8,4
img_573,0,0
img_574,2,1
img_575,1,1
img_576,2,1
img_577,0,0
img_578,4,3
img_579,0,0
img_580,0,0
img_581,0,1
img_582,1,1
img_583,2,3
img_584,1,0
img_585,0,1
img_586,25,24
img_587,0,0
img_588,4,3
img_589,12,16
img_590,0,0
img_591,1,1
img_592,1,0
img_593,25,18
img_594,1,2
img_595,4,0
img_596,2,0
img_597,7,5
img_598,1,1
img_599,2,2
img_600,1,1
img_601,1,1
img_602,0,0
img_603,7,5
img_604,3,5
img_605,2,3
img_606,2,1
img_607,0,0
img_608,0,0
img_609,3,6
img_610,1,4
img_611,1,0
img_612,1,0
img_613,1,0
img_614,0,0
img_615,4,2
img_616,0,0
img_617,5,1
img_618,5,10
img_619,0,0
img_620,0,0
img_621,0,0
img_622,9,11
img_623,2,1
img_624,1,2
img_625,4,2
img_626,0,0
img_627,0,0
img_628,0,0
img_629,7,11
img_630,2,1
img_631,0,0
img_632,1,0
img_633,1,1
img_634,32,15
img_635,6,4
img_636,1,1
img_637,4,5
img_638,1,2
img_639,2,1
img_640,25,25
img_641,2,2
img_642,0,0
img_643,2,1
img_644,0,0
img_645,1,1
img_646,5,5
img_647,0,0
img_648,1,2
img_649,1,1
img_650,0,0
img_651,0,2
img_652,2,1
img_653,2,2
img_654,2,3
img_655,2,0
img_656,13,5
img_657,0,0
img_658,0,0
img_659,3,3
img_660,1,1
img_661,5,1
img_662,3,2
img_663,2,2
img_664,10,12
img_665,0,1
img_666,2,1
img_667,1,2
img_668,9,5
img_669,2,0
img_670,7,2
img_671,5,2
img_672,0,0
img_673,18,11
img_674,3,1
img_675,2,6
img_676,1,0
img_677,14,20
img_678,6,7
img_679,1,0
img_680,1,2
img_681,1,2
img_682,0,0
img_683,2,3
img_684,2,1
img_685,1,0
img_686,12,14
img_687,0,0
img_688,1,0
img_689,2,3
img_690,3,9
img_691,3,3
img_692,1,1
img_693,10,4
img_694,0,1
img_695,6,7
img_696,0,0
img_697,1,1
img_698,0,0
img_699,1,1
img_700,4,2
img_701,1,3
img_702,5,2
img_703,13,2
img_704,0,0
img_705,6,3
img_706,1,1
img_707,5,1
img_708,1,2
img_709,1,1
img_710,4,2
img_711,1,2
img_712,0,0
img_713,3,5
img_714,20,14
img_715,2,2
img_716,4,4
img_717,1,0
img_718,1,2
img_719,1,0
img_720,2,1
img_721,0,0
img_722,1,1
img_723,0,0
img_724,0,0
img_725,1,0
img_726,1,2
img_727,0,0
img_728,0,0
img_729,0,0
img_730,15,12
img_731,0,1
img_732,8,8
img_733,1,1
img_734,4,5
img_735,21,15
img_736,9,7
img_737,2,3
img_738,4,6
img_739,5,1
img_740,1,1
img_741,2,4
img_742,6,10
img_743,1,0
img_744,1,1
img_745,1,0
img_746,14,2
img_747,2,3
img_748,0,0
img_749,3,3
img_750,2,1
img_751,2,1
img_752,7,9
img_753,16,13
img_754,6,7
img_755,6,5
img_756,0,0
img_757,1,1
img_758,2,1
img_759,1,1
img_760,6,5
img_761,0,0
img_762,4,5
img_763,6,7
img_764,4,2
img_765,11,8
img_766,0,0
img_767,5,3
img_768,2,1
img_769,1,2
img_770,1,1
img_771,1,2
img_772,0,0
img_773,2,2
img_774,3,0
img_775,2,4
img_776,3,1
img_777,0,0
img_778,1,1
img_779,1,2
img_780,1,2
img_781,1,2
img_782,0,0
img_783,5,4
img_784,1,0
img_785,5,5
img_786,3,2
img_787,0,2
img_788,4,2
img_789,5,6
img_790,0,0
img_791,3,3
img_792,0,0
img_793,4,6
img_794,2,4
img_795,1,1
img_796,0,0
img_797,4,5
img_798,3,6
img_799,5,9
img_800,3,4
img_801,1,0
img_802,3,4
img_803,0,0
img_804,0,0
img_805,2,3
img_806,1,1
img_807,0,1
img_808,0,0
img_809,4,3
img_810,1,0
img_811,1,0
img_812,1,0
img_813,0,0
img_814,3,4
img_815,11,12
img_816,3,1
img_817,1,0
img_818,1,1
img_819,19,6
img_820,1,1
img_821,0,0
img_822,1,5
img_823,3,3
img_824,0,0
img_825,4,3
img_826,6,5
img_827,1,0
img_828,2,2
img_829,5,1
img_830,1,0
img_831,6,2
img_832,1,0
img_833,7,6
img_834,1,0
img_835,3,0
img_836,1,2
img_837,5,6
img_838,0,0
img_839,1,1
img_840,1,0
img_841,1,1
img_842,0,1
img_843,6,9
img_844,0,0
img_845,5,0
img_846,13,11
img_847,10,9
img_848,0,0
img_849,13,12
img_850,5,9
img_851,6,3
img_852,0,0
img_853,14,12
img_854,1,0
img_855,1,0
img_856,3,4
img_857,1,2
img_858,1,2
img_859,4,8
img_860,2,5
img_861,0,0
img_862,0,0
img_863,3,1
img_864,2,1
img_865,0,0
img_866,6,9
img_867,5,0
img_868,3,5
img_869,1,1
img_870,0,0
img_871,5,1
img_872,0,0
img_873,0,0
img_874,5,1
img_875,0,0
img_876,1,1
img_877,10,1
img_878,1,1
img_879,3,0
img_880,3,5
img_881,0,0
img_882,1,0
img_883,0,0
img_884,1,3
img_885,1,1
img_886,3,3
img_887,0,0
img_888,1,1
img_889,1,1
img_890,3,6
img_891,2,4
img_892,1,0
img_893,1,0
img_894,1,0
img_895,0,0
img_896,4,2
img_897,1,2
img_898,3,4
img_899,1,1
img_900,1,0
img_901,1,0
img_902,2,1
img_903,33,28
img_904,1,0
img_905,3,10
img_906,0,0
img_907,1,2
img_908,2,2
img_909,0,0
img_910,0,0
img_911,0,0
img_912,1,1
img_913,0,0
img_914,1,1
img_915,0,0
img_916,0,0
img_917,0,0
img_918,3,4
img_919,5,3
img_920,4,16
img_921,2,2
img_922,5,2
img_923,8,10
img_924,0,1
img_925,2,3
img_926,4,3
img_927,1,0
img_928,3,0
img_929,1,1
img_930,1,2
img_931,2,1
img_932,4,8
img_933,1,1
img_934,1,0
img_935,1,0
img_936,0,0
img_937,10,7
img_938,1,1
img_939,5,7
img_940,1,1
img_941,9,11
img_942,5,3
img_943,1,0
img_944,1,1
img_945,1,1
img_946,3,1
img_947,0,0
img_948,1,3
img_949,1,1
img_950,3,1
img_951,0,0
img_952,0,0
img_953,2,1
img_954,1,1
img_955,1,1
img_956,2,2
img_957,0,0
img_958,0,0
img_959,0,0
img_960,1,2
img_961,4,2
img_962,2,0
img_963,6,4
img_964,2,3
img_965,1,1
img_966,4,6
img_967,1,1
img_968,1,1
img_969,2,3
img_970,1,0
img_971,1,0
img_972,9,7
img_973,0,0
img_974,0,0
img_975,1,2
img_976,2,2
img_977,4,5
img_978,0,0
img_979,10,9
img_980,1,3
img_981,12,11
img_982,6,7
img_983,2,4
img_984,6,7
img_985,1,1
img_986,21,18
img_987,5,8
img_988,16,6
img_989,22,8
img_990,4,3
img_991,3,3
img_992,10,10
img_993,1,2
img_994,0,0
img_995,1,5
img_996,7,0
img_997,2,1
img_998,1,2
img_999,1,5
img_1000,3,4
img_1001,6,11
img_1002,2,2
img_1003,8,12
img_1004,4,3
img_1005,4,8
img_1006,2,2
img_1007,1,1
img_1008,2,5
img_1009,1,1
img_1010,1,2
img_1011,0,1
img_1012,0,0
img_1013,0,0
img_1014,4,2
img_1015,0,0
img_1016,2,2
img_1017,2,1
img_1018,1,1
img_1019,2,2
img_1020,1,2
img_1021,0,0
img_1022,5,3
img_1023,0,0
img_1024,0,1
img_1025,5,1
img_1026,1,1
img_1027,7,6
img_1028,1,4
img_1029,2,2
img_1030,8,3
img_1031,5,5
img_1032,9,4
img_1033,0,0
img_1034,17,13
img_1035,0,0
img_1036,0,0
img_1037,6,6
img_1038,3,4
img_1039,1,2
img_1040,1,2
img_1041,2,2
img_1042,2,1
img_1043,5,3
img_1044,0,1
img_1045,3,3
img_1046,7,11
img_1047,3,2
img_1048,0,0
img_1049,1,0
img_1050,2,3
img_1051,1,1
img_1052,2,3
img_1053,26,24
img_1054,2,0
img_1055,4,2
img_1056,0,0
img_1057,11,2
img_1058,5,6
img_1059,1,1
img_1060,1,0
img_1061,16,16
img_1062,2,2
img_1063,1,1
img_1064,3,6
img_1065,1,1
img_1066,7,4
img_1067,1,1
img_1068,2,3
img_1069,14,11
img_1070,2,2
img_1071,6,10
img_1072,0,3
img_1073,2,2
img_1074,5,8
img_1075,1,1
img_1076,6,8
img_1077,0,0
img_1078,1,0
img_1079,1,0
img_1080,1,1
img_1081,2,2
img_1082,2,3
img_1083,2,2
img_1084,1,1
img_1085,3,3
img_1086,0,1
img_1087,1,1
img_1088,1,1
img_1089,1,5
img_1090,5,4
img_1091,0,0
img_1092,1,0
img_1093,0,0
img_1094,0,0
img_1095,6,3
img_1096,9,8
img_1097,1,3
img_1098,6,8
img_1099,4,3
img_1100,1,0
img_1101,0,0
img_1102,0,0
img_1103,1,0
img_1104,1,1
img_1105,2,0
img_1106,0,0
img_1107,5,3
img_1108,3,4
img_1109,2,1
img_1110,2,2
img_1111,0,0
img_1112,1,0
img_1113,0,0
img_1114,1,1
img_1115,1,3
img_1116,0,0
img_1117,1,1
img_1118,8,3
img_1119,1,1
img_1120,1,2
img_1121,18,9
img_1122,0,0
img_1123,2,2
img_1124,11,11
img_1125,0,0
img_1126,2,3
img_1127,1,3
img_1128,1,0
img_1129,1,0
img_1130,1,1
img_1131,1,2
img_1132,2,2
img_1133,2,2
img_1134,3,3
img_1135,1,1
img_1136,0,0
img_1137,1,1
img_1138,1,1
img_1139,1,3
img_1140,3,4
img_1141,3,3
img_1142,1,0
img_1143,1,0
img_1144,1,1
img_1145,4,8
img_1146,2,3
img_1147,1,1
img_1148,7,6
img_1149,4,4
img_1150,9,7
img_1151,3,4
img_1152,5,4
img_1153,0,0
img_1154,1,0
img_1155,1,0
img_1156,4,4
img_1157,5,7
img_1158,3,5
img_1159,1,1
img_1160,0,1
img_1161,2,2
img_1162,3,5
img_1163,1,1
img_1164,4,3
img_1165,3,2
img_1166,2,1
img_1167,1,1
img_1168,3,3
img_1169,0,0
img_1170,0,0
img_1171,2,1
img_1172,0,0
img_1173,1,1
img_1174,0,1
img_1175,7,4
img_1176,16,16
img_1177,2,2
img_1178,7,5
img_1179,1,3
img_1180,7,7
img_1181,0,0
img_1182,2,2
img_1183,1,0
img_1184,0,0
img_1185,5,7
img_1186,0,1
img_1187,0,0
img_1188,3,4
img_1189,0,0
img_1190,0,0
img_1191,1,0
img_1192,2,2
img_1193,1,0
img_1194,1,0
img_1195,1,0
img_1196,1,0
img_1197,0,1
img_1198,0,0
img_1199,7,5
img_1200,2,1
img_1201,1,3
img_1202,2,1
img_1203,2,1
img_1204,15,16
img_1205,0,0
img_1206,19,24
img_1207,0,0
img_1208,3,1
img_1209,2,4
img_1210,0,0
img_1211,1,0
img_1212,0,0
img_1213,0,0
img_1214,1,2
img_1215,3,0
img_1216,1,0
img_1217,1,1
img_1218,0,0
img_1219,2,2
img_1220,3,4
img_1221,3,5
img_1222,11,13
img_1223,1,3
img_1224,1,1
img_1225,3,2
img_1226,3,2
img_1227,1,1
img_1228,7,6
img_1229,0,0
img_1230,1,0
img_1231,4,0
img_1232,1,1
img_1233,2,1
img_1234,0,3
img_1235,0,0
img_1236,0,0
img_1237,3,2
img_1238,2,4
img_1239,1,1
img_1240,1,2
img_1241,4,5
img_1242,0,0
img_1243,0,2
img_1244,6,11
img_1245,2,4
img_1246,3,0
img_1247,0,0
img_1248,6,3
img_1249,5,1
img_1250,5,6
img_1251,3,3
img_1252,1,2
img_1253,1,1
img_1254,0,0
img_1255,0,0
img_1256,1,0
img_1257,2,1
img_1258,3,0
img_1259,1,2
img_1260,0,4
img_1261,1,1
img_1262,0,0
img_1263,1,0
img_1264,2,4
img_1265,2,2
img_1266,1,0
img_1267,2,1
img_1268,2,4
img_1269,1,1
img_1270,8,7
img_1271,1,3
img_1272,13,7
img_1273,3,2
img_1274,0,0
img_1275,1,1
img_1276,2,4
img_1277,4,2
img_1278,0,0
img_1279,3,5
img_1280,12,5
img_1281,8,3
img_1282,0,0
img_1283,1,1
img_1284,5,5
img_1285,0,0
img_1286,0,0
img_1287,1,0
img_1288,1,0
img_1289,0,0
img_1290,2,3
img_1291,1,0
img_1292,1,2
img_1293,2,1
img_1294,3,3
img_1295,1,1
img_1296,0,0
img_1297,9,10
img_1298,0,0
img_1299,3,0
img_1300,0,0
img_1301,2,0
img_1302,26,17
img_1303,0,3
img_1304,8,10
img_1305,3,2
img_1306,6,8
img_1307,3,1
img_1308,0,0
img_1309,4,6
img_1310,1,1
img_1311,13,21
img_1312,3,3
img_1313,1,1
img_1314,0,0
img_1315,5,4
img_1316,0,0
img_1317,0,0
img_1318,0,0
img_1319,1,1
img_1320,2,2
img_1321,14,12
img_1322,1,0
img_1323,10,5
img_1324,20,14
img_1325,0,0
img_1326,3,1
img_1327,1,1
img_1328,1,1
img_1329,2,2
img_1330,1,0
img_1331,0,0
img_1332,10,13
img_1333,0,0
img_1334,16,5
img_1335,4,3
img_1336,5,5
img_1337,1,0
img_1338,0,0
img_1339,7,3
img_1340,12,10
img_1341,0,0
img_1342,2,1
img_1343,4,2
img_1344,1,2
img_1345,3,2
img_1346,5,1
img_1347,1,2
img_1348,5,3
img_1349,2,2
img_1350,0,0
img_1351,2,4
img_1352,8,10
img_1353,2,2
img_1354,1,10
img_1355,1,1
img_1356,0,1
img_1357,7,8
img_1358,1,1
img_1359,1,0
img_1360,2,3
img_1361,0,0
img_1362,1,0
img_1363,1,2
img_1364,12,11
img_1365,1,1
img_1366,1,1
img_1367,2,1
img_1368,3,1
img_1369,1,0
img_1370,3,2
img_1371,4,5
img_1372,3,3
img_1373,2,2
img_1374,1,0
img_1375,1,1
img_1376,15,11
img_1377,2,4
img_1378,0,0
img_1379,1,1
img_1380,4,3
img_1381,2,1
img_1382,1,4
img_1383,3,3
img_1384,1,2
img_1385,1,0
img_1386,0,0
img_1387,6,5
img_1388,0,0
img_1389,5,4
img_1390,2,1
img_1391,2,3
img_1392,1,1
img_1393,1,1
img_1394,0,0
img_1395,0,0
img_1396,1,1
img_1397,1,4
img_1398,1,1
img_1399,11,11
img_1400,13,15
img_1401,1,1
img_1402,1,1
img_1403,0,0
img_1404,1,0
img_1405,0,0
img_1406,0,0
img_1407,1,0
img_1408,10,8
img_1409,2,1
img_1410,1,1
img_1411,2,2
img_1412,1,0
img_1413,0,0
img_1414,1,3
img_1415,1,2
img_1416,4,4
img_1417,0,0
img_1418,0,0
img_1419,1,1
img_1420,3,1
img_1421,0,0
img_1422,0,0
img_1423,0,0
img_1424,24,14
img_1425,0,0
img_1426,31,30
img_1427,2,2
img_1428,4,4
img_1429,6,10
img_1430,0,0
img_1431,5,3
img_1432,7,9
img_1433,4,3
img_1434,5,7
img_1435,1,1
img_1436,0,1
img_1437,4,6
img_1438,27,18
img_1439,2,3
img_1440,8,4
img_1441,1,2
img_1442,7,5
img_1443,2,3
img_1444,3,7
img_1445,3,3
img_1446,0,0
img_1447,5,7
img_1448,10,9
img_1449,1,0
img_1450,2,1
img_1451,1,2
img_1452,0,0
img_1453,1,1
img_1454,0,0
img_1455,3,3
img_1456,2,1
img_1457,6,9
img_1458,10,8
img_1459,1,0
img_1460,5,1
img_1461,1,2
img_1462,5,3
img_1463,5,5
img_1464,10,10
img_1465,0,0
img_1466,7,3
img_1467,2,1
img_1468,0,0
img_1469,0,0
img_1470,2,1
img_1471,39,17
img_1472,4,4
img_1473,0,0
img_1474,1,0
img_1475,0,0
img_1476,0,1
img_1477,39,13
img_1478,1,0
img_1479,3,2
img_1480,3,5
img_1481,2,0
img_1482,0,1
img_1483,2,2
img_1484,0,1
img_1485,0,0
img_1486,2,1
img_1487,3,5
img_1488,10,15
img_1489,14,16
img_1490,4,5
img_1491,0,0
img_1492,10,3
img_1493,9,9
img_1494,0,0
img_1495,2,2
img_1496,5,6
img_1497,1,1
img_1498,7,5
img_1499,0,0
img_1500,5,6
img_1501,6,6
img_1502,4,11
img_1503,1,1
img_1504,1,4
img_1505,1,1
img_1506,2,2
img_1507,1,2
img_1508,0,0
img_1509,9,14
img_1510,2,4
img_1511,6,5
img_1512,3,0
img_1513,3,1
img_1514,9,10
img_1515,0,0
img_1516,1,0
img_1517,0,3
img_1518,20,22
img_1519,1,1
img_1520,1,0
img_1521,1,1
img_1522,3,4
img_1523,3,5
img_1524,0,0
img_1525,1,0
img_1526,20,14
img_1527,1,3
img_1528,1,0
img_1529,3,1
img_1530,13,2
img_1531,2,2
img_1532,4,6
img_1533,5,4
img_1534,1,0
img_1535,17,16
img_1536,2,2
img_1537,10,5
img_1538,0,0
img_1539,2,1
img_1540,5,4
img_1541,2,1
img_1542,5,3
img_1543,0,0
img_1544,25,23
img_1545,0,1
img_1546,4,2
img_1547,4,4
img_1548,4,1
img_1549,6,6
img_1550,0,0
img_1551,0,0
img_1552,0,0
img_1553,2,0
img_1554,1,1
img_1555,9,13
img_1556,1,1
img_1557,3,3
img_1558,5,7
img_1559,1,2
img_1560,4,2
img_1561,1,1
img_1562,1,2
img_1563,10,11
img_1564,2,0
img_1565,2,0
img_1566,0,0
img_1567,0,0
img_1568,13,18
img_1569,0,0
img_1570,1,2
img_1571,2,1
img_1572,6,7
img_1573,1,2
img_1574,6,4
img_1575,10,10
img_1576,0,0
img_1577,29,20
img_1578,6,4
img_1579,0,0
img_1580,3,0
img_1581,2,1
img_1582,1,0
img_1583,4,4
img_1584,1,2
img_1585,0,0
img_1586,4,7
img_1587,0,0
img_1588,25,1
img_1589,1,0
img_1590,4,2
img_1591,0,2
img_1592,1,0
img_1593,1,0
img_1594,3,9
img_1595,0,0
img_1596,1,0
img_1597,1,1
img_1598,0,0
img_1599,1,2
img_1600,3,3
img_1601,7,11
img_1602,1,0
img_1603,1,1
img_1604,0,1
img_1605,3,0
img_1606,2,2
img_1607,2,4
img_1608,0,0
img_1609,2,1
img_1610,10,11
img_1611,1,1
img_1612,4,3
img_1613,1,3
img_1614,24,19
img_1615,0,0
img_1616,2,4
img_1617,1,1
img_1618,1,2
img_1619,4,4
img_1620,3,1
img_1621,4,2
img_1622,0,0
img_1623,1,1
img_1624,1,0
img_1625,0,0
img_1626,1,1
img_1627,1,0
img_1628,2,3
img_1629,2,1
img_1630,0,0
img_1631,5,9
img_1632,1,0
img_1633,4,0
img_1634,0,0
img_1635,2,1
img_1636,6,3
img_1637,1,2
img_1638,1,0
img_1639,0,1
img_1640,0,0
img_1641,1,0
img_1642,0,2
img_1643,6,12
img_1644,1,0
img_1645,0,0
img_1646,13,10
img_1647,0,0
img_1648,1,1
img_1649,0,0
img_1650,1,0
img_1651,0,0
img_1652,1,0
img_1653,2,1
img_1654,1,2
img_1655,0,0
img_1656,4,6
img_1657,1,1
img_1658,1,1
img_1659,2,1
img_1660,1,0
