Image,Predicted-Lymphocyte
img_677,19
img_678,7
img_679,0
img_680,2
img_681,2
img_682,0
img_683,3
img_684,2
img_685,0
img_686,16
img_687,0
img_688,0
img_689,3
img_690,11
img_691,2
img_692,1
img_693,6
img_694,2
img_695,7
img_696,0
img_697,1
img_698,0
img_699,1
img_700,3
img_701,4
img_702,2
img_703,6
img_704,0
img_705,3
img_706,2
img_707,5
img_708,1
img_709,1
img_710,2
img_711,2
img_712,0
img_713,5
img_714,16
img_715,3
img_716,5
img_717,0
img_718,3
img_719,0
img_720,1
img_721,0
img_722,1
img_723,0
img_724,0
img_725,0
img_726,2
img_727,0
img_728,0
img_729,0
img_730,13
img_731,1
img_732,9
img_733,1
img_734,5
img_735,17
img_736,11
img_737,3
img_738,5
img_739,5
img_740,1
img_741,4
img_742,9
img_743,1
img_744,1
img_745,0
img_746,2
img_747,3
img_748,1
img_749,3
img_750,1
img_751,1
img_752,6
img_753,14
img_754,7
img_755,6
img_756,0
img_757,1
img_758,2
img_759,1
img_760,5
img_761,2
img_762,5
img_763,6
img_764,2
img_765,14
img_766,0
img_767,4
img_768,1
img_769,2
img_770,1
img_771,1
img_772,0
img_773,3
img_774,0
img_775,4
img_776,1
img_777,0
img_778,1
img_779,2
img_780,2
img_781,3
img_782,1
img_783,4
img_784,0
img_785,5
img_786,4
img_787,1
img_788,3
img_789,6
img_790,0
img_791,3
img_792,1
img_793,6
img_794,4
img_795,1
img_796,0
img_797,5
img_798,6
img_799,9
img_800,4
img_801,1
img_802,4
img_803,0
img_804,0
img_805,3
img_806,1
img_807,1
img_809,3
img_810,0
img_811,0
img_812,0
img_813,2
img_814,4
img_815,12
img_816,2
img_817,1
img_818,1
img_819,7
img_820,1
img_821,0
img_822,4
img_823,4
img_824,0
img_825,3
img_826,5
img_827,0
img_828,2
img_829,3
img_830,0
img_831,3
img_832,1
img_833,7
img_834,1
img_835,0
img_836,1
img_837,6
img_838,0
img_839,1
img_840,1
img_841,1
img_842,1
img_843,13
img_844,0
img_845,0
img_846,10
img_847,10
img_848,0
img_849,12
img_850,9
img_851,3
img_852,0
img_853,12
img_854,0
img_855,0
img_856,3
img_857,2
img_858,1
img_859,9
img_860,4
img_861,0
img_862,0
img_863,0
img_864,1
img_865,0
img_866,9
img_867,4
img_868,5
img_869,1
img_870,0
img_871,2
img_872,0
img_873,0
img_874,5
img_875,0
img_876,1
img_877,3
img_878,1
img_879,0
img_880,7
img_881,0
img_882,1
img_883,0
img_884,2
img_885,1
img_886,3
img_887,0
img_888,1
img_889,1
img_890,7
img_891,3
img_892,0
img_893,1
img_894,0
img_895,0
img_896,3
img_897,2
img_898,5
img_899,1
img_900,0
img_901,0
img_902,0
img_903,29
img_904,1
img_905,11
img_906,0
img_907,2
img_908,2
img_909,0
img_910,0
img_911,0
img_912,1
img_913,0
img_914,1
img_916,0
img_917,0
img_918,4
img_919,3
img_920,17
img_921,2
img_922,3
img_923,11
img_924,0
img_925,3
img_926,3
img_927,0
img_928,0
img_929,1
img_930,2
img_931,1
img_932,8
img_933,2
img_934,0
img_935,0
img_936,0
img_937,7
img_938,1
img_939,7
img_940,1
img_941,13
img_942,4
img_943,1
img_944,0
img_945,1
img_946,6
img_947,0
img_948,3
img_949,1
img_950,1
img_951,0
img_952,0
img_953,1
img_954,1
img_955,0
img_956,2
img_957,0
img_958,0
img_959,0
img_960,1
img_961,2
img_962,0
img_963,5
img_964,3
img_965,1
img_966,6
img_967,1
img_968,1
img_969,3
img_970,0
img_971,0
img_972,5
img_973,0
img_974,0
img_975,2
img_976,2
img_977,5
img_978,0
img_979,9
img_980,2
img_981,12
img_982,7
img_983,4
img_984,7
img_985,1
img_986,19
img_987,8
img_988,6
img_989,8
img_990,3
img_991,3
img_992,11
img_993,2
img_994,0
img_995,5
img_996,3
img_997,2
img_998,2
img_999,7
img_1000,6
img_1001,11
img_1002,2
img_1003,15
img_1004,3
img_1005,8
img_1006,2
img_1007,1
img_1008,5
img_1009,1
img_1010,2
img_1011,3
img_1012,0
img_1013,0
img_1014,3
img_1015,0
img_1016,4
img_1017,2
img_1018,1
img_1019,2
img_1020,2
img_1021,0
img_1022,3
img_1023,1
img_1024,1
img_1025,2
img_1026,1
img_1027,6
img_1028,4
img_1029,2
img_1030,2
img_1031,5
img_1032,8
img_1033,0
img_1034,17
img_1035,0
img_1036,0
img_1037,7
img_1038,4
img_1039,1
img_1040,2
img_1041,2
img_1042,1
img_1043,3
img_1044,1
img_1045,3
img_1046,11
img_1047,2
img_1048,0
img_1049,1
img_1050,3
img_1051,1
img_1052,3
img_1053,27
img_1054,0
img_1055,2
img_1056,0
img_1057,2
img_1058,7
img_1059,1
img_1060,1
img_1061,16
img_1062,1
img_1063,1
img_1064,6
img_1065,1
img_1066,5
img_1067,1
img_1068,3
img_1069,14
img_1070,2
img_1071,12
img_1072,2
img_1073,3
img_1074,6
img_1075,1
img_1076,8
img_1077,0
img_1078,0
img_1079,0
img_1080,1
img_1081,2
img_1082,3
img_1083,2
img_1084,1
img_1085,3
img_1086,0
img_1087,1
img_1088,2
img_1089,5
img_1090,4
img_1091,0
img_1092,1
img_1093,0
img_1094,0
img_1095,3
img_1096,10
img_1097,3
img_1098,11
img_1099,3
img_1100,1
img_1101,2
img_1102,0
img_1103,0
img_1104,1
img_1105,0
img_1106,0
img_1107,5
img_1108,6
img_1109,1
img_1110,2
img_1111,0
img_1112,0
img_1113,0
img_1114,1
img_1115,2
img_1116,0
img_1117,1
img_1118,3
img_1119,1
img_1120,2
img_1121,11
img_1122,0
img_1123,2
img_1124,11
img_1125,0
img_1126,3
img_1127,3
img_1128,0
img_1129,0
img_1130,1
img_1131,2
img_1132,3
img_1133,2
img_1134,3
img_1135,1
img_1136,0
img_1137,1
img_1138,1
img_1139,3
img_1140,3
img_1141,3
img_1142,0
img_1143,0
img_1144,2
img_1145,9
img_1146,3
img_1147,1
img_1148,8
img_1149,4
img_1150,4
img_1151,6
img_1152,4
img_1153,0
img_1154,0
img_1155,0
img_1156,5
img_1157,6
img_1158,5
img_1159,1
img_1160,1
img_1161,2
img_1162,5
img_1163,1
img_1164,3
img_1165,2
img_1166,1
img_1167,1
img_1168,4
img_1169,0
img_1170,1
img_1171,1
img_1172,0
img_1173,1
img_1174,3
img_1175,5
img_1176,18
img_1177,2
img_1178,5
img_1179,3
img_1180,7
img_1181,0
img_1182,2
img_1183,1
img_1184,0
img_1185,6
img_1186,0
img_1187,0
img_1188,4
img_1189,0
img_1191,0
img_1192,2
img_1193,0
img_1194,0
img_1195,2
img_1196,0
img_1197,1
img_1198,0
img_1199,8
img_1200,1
img_1201,3
img_1202,1
img_1203,1
img_1204,21
img_1205,0
img_1206,25
img_1207,0
img_1208,1
img_1209,4
img_1210,0
img_1211,0
img_1212,0
img_1213,0
img_1214,2
img_1215,0
img_1216,1
img_1217,0
img_1218,0
img_1219,2
img_1220,4
img_1221,5
img_1222,16
img_1223,5
img_1224,1
img_1225,2
img_1226,2
img_1227,1
img_1228,8
img_1229,0
img_1230,0
img_1231,1
img_1232,1
img_1233,2
img_1234,4
img_1235,0
img_1236,0
img_1237,2
img_1238,4
img_1239,1
img_1240,1
img_1241,6
img_1242,0
img_1243,4
img_1244,10
img_1245,3
img_1246,0
img_1247,0
img_1248,3
img_1249,4
img_1250,7
img_1251,3
img_1252,2
img_1253,1
img_1254,0
img_1255,0
img_1256,0
img_1257,2
img_1258,1
img_1259,2
img_1260,4
img_1261,1
img_1262,0
img_1263,0
img_1264,3
img_1265,2
img_1266,0
img_1267,1
img_1268,4
img_1269,1
img_1270,7
img_1271,3
img_1272,7
img_1273,3
img_1274,0
img_1275,1
img_1276,4
img_1277,2
img_1278,1
img_1279,3
img_1280,7
img_1281,5
img_1282,0
img_1283,1
img_1284,5
img_1285,0
img_1286,0
img_1287,0
img_1288,0
img_1289,0
img_1290,3
img_1291,0
img_1292,2
img_1293,2
img_1294,3
img_1295,1
img_1296,0
img_1297,11
img_1298,0
img_1299,2
img_1300,0
img_1301,1
img_1302,19
img_1303,11
img_1304,10
img_1305,3
img_1306,8
img_1307,1
img_1308,0
img_1309,6
img_1310,1
img_1311,21
img_1312,3
img_1313,1
img_1315,4
img_1316,0
img_1317,0
img_1318,0
img_1319,1
img_1320,2
img_1321,13
img_1322,0
img_1323,6
img_1324,17
img_1325,0
img_1326,1
img_1327,1
img_1328,1
img_1329,2
img_1330,0
img_1331,0
img_1332,13
img_1333,0
img_1334,5
img_1335,5
img_1336,6
img_1337,0
img_1338,0
img_1339,2
img_1340,10
img_1341,0
img_1342,1
img_1343,2
img_1344,2
img_1345,2
img_1346,1
img_1347,2
img_1348,3
img_1349,2
img_1350,0
img_1351,4
img_1352,12
img_1353,2
img_1354,14
img_1355,3
img_1356,1
img_1357,11
img_1358,1
img_1359,0
img_1360,3
img_1361,0
img_1362,0
img_1363,3
img_1364,12
img_1365,1
img_1366,2
img_1367,1
img_1368,1
img_1369,0
img_1370,3
img_1371,6
img_1372,3
img_1373,3
img_1374,0
img_1375,1
img_1376,15
img_1377,4
img_1378,0
img_1379,1
img_1380,4
img_1381,1
img_1382,4
img_1383,4
img_1384,2
img_1385,1
img_1386,0
img_1387,7
img_1388,1
img_1389,7
img_1390,1
img_1391,3
img_1392,1
img_1393,1
img_1394,0
img_1395,0
img_1396,1
img_1397,4
img_1398,1
img_1399,11
img_1400,18
img_1401,2
img_1402,1
img_1403,0
img_1404,0
img_1405,1
img_1406,0
img_1407,1
img_1408,9
img_1409,2
img_1410,1
img_1411,2
img_1412,0
img_1414,2
img_1415,2
img_1416,5
img_1417,1
img_1418,0
img_1419,2
img_1420,4
img_1422,0
img_1423,0
img_1424,14
img_1425,0
img_1426,31
img_1427,2
img_1428,3
img_1429,11
img_1430,0
img_1431,3
img_1432,9
img_1433,5
img_1434,7
img_1435,1
img_1436,2
img_1437,6
img_1438,23
img_1439,3
img_1440,4
img_1441,2
img_1442,6
img_1443,3
img_1444,6
img_1445,3
img_1446,0
img_1447,8
img_1448,13
img_1449,2
img_1450,1
img_1451,2
img_1452,0
img_1453,1
img_1454,0
img_1455,3
img_1456,1
img_1457,9
img_1458,8
img_1459,0
img_1460,1
img_1461,2
img_1462,4
img_1463,4
img_1464,10
img_1465,0
img_1466,6
img_1467,2
img_1468,0
img_1469,0
img_1470,0
img_1471,17
img_1472,5
img_1473,0
img_1474,0
img_1475,0
img_1476,1
img_1477,15
img_1478,0
img_1479,2
img_1480,4
img_1481,0
img_1482,1
img_1483,2
img_1484,1
img_1485,0
img_1486,1
img_1487,5
img_1488,15
img_1489,15
img_1490,6
img_1491,0
img_1492,5
img_1493,10
img_1494,0
img_1495,1
img_1496,7
img_1497,1
img_1498,7
img_1499,0
img_1500,5
img_1501,7
img_1502,9
img_1503,1
img_1504,3
img_1505,0
img_1506,2
img_1507,2
img_1508,0
img_1509,15
img_1510,5
img_1511,5
img_1512,0
img_1513,3
img_1514,11
img_1515,0
img_1516,0
img_1517,3
img_1518,24
img_1519,1
img_1520,0
img_1521,1
img_1522,4
img_1523,5
img_1524,0
img_1525,0
img_1526,16
img_1527,2
img_1528,1
img_1529,1
img_1530,5
img_1531,2
img_1532,6
img_1533,6
img_1534,0
img_1535,15
img_1536,2
img_1537,5
img_1538,0
img_1539,1
img_1540,4
img_1541,1
img_1542,3
img_1543,0
img_1544,25
img_1545,1
img_1546,3
img_1547,3
img_1548,0
img_1549,6
img_1550,1
img_1551,0
img_1552,1
img_1553,1
img_1554,1
img_1555,16
img_1556,2
img_1557,6
img_1558,10
img_1559,2
img_1560,1
img_1561,1
img_1562,2
img_1563,12
img_1564,0
img_1565,0
img_1566,0
img_1567,0
img_1568,18
img_1569,0
img_1570,2
img_1571,1
img_1572,8
img_1573,2
img_1574,4
img_1575,10
img_1576,0
img_1577,20
img_1578,5
img_1579,0
img_1580,3
img_1581,1
img_1582,1
img_1583,2
img_1584,2
img_1585,1
img_1586,7
img_1587,0
img_1588,2
img_1589,1
img_1590,2
img_1591,1
img_1592,1
img_1593,0
img_1594,9
img_1595,0
img_1596,0
img_1597,2
img_1598,0
img_1599,2
img_1600,1
img_1601,11
img_1602,0
img_1603,1
img_1604,1
img_1605,1
img_1606,1
img_1607,4
img_1608,0
img_1609,1
img_1610,13
img_1611,1
img_1612,3
img_1613,1
img_1614,23
img_1615,0
img_1616,4
img_1617,1
img_1618,2
img_1619,4
img_1620,1
img_1621,4
img_1622,0
img_1623,1
img_1624,2
img_1625,0
img_1626,1
img_1627,0
img_1628,4
img_1629,2
img_1630,0
img_1631,9
img_1632,1
img_1633,1
img_1634,0
img_1635,1
img_1636,2
img_1637,1
img_1638,0
img_1639,1
img_1640,0
img_1641,1
img_1642,1
img_1643,12
img_1644,0
img_1645,0
img_1646,11
img_1647,0
img_1648,1
img_1650,1
img_1651,0
img_1652,0
img_1653,3
img_1654,2
img_1655,0
img_1656,6
img_1657,1
img_1658,1
img_1659,2
img_1660,0
img_1661,1
img_1662,1
img_1663,2
img_1664,1
img_1665,10
img_1666,4
img_1667,18
img_1668,0
img_1669,1
img_1670,1
img_1671,2
img_1673,2
img_1674,0
img_1675,0
img_1676,6
img_1677,5
img_1678,5
img_1679,0
img_1680,15
img_1681,2
img_1682,1
img_1683,1
img_1684,0
img_1685,0
img_1686,3
img_1687,28
img_1688,5
img_1689,9
img_1690,2
img_1691,0
img_1692,4
img_1693,1
img_1694,6
img_1695,1
img_1696,3
img_1697,0
img_1698,0
img_1699,5
img_1700,0
img_1701,1
img_1702,0
img_1703,0
img_1704,4
img_1705,3
img_1706,9
img_1707,6
img_1708,0
img_1709,2
img_1710,9
img_1711,0
img_1712,3
img_1713,0
img_1714,3
img_1715,2
img_1717,2
img_1718,0
img_1719,2
img_1720,11
img_1721,24
img_1722,2
img_1723,6
img_1724,0
img_1725,4
img_1726,7
img_1727,8
img_1728,6
img_1729,0
img_1730,11
img_1731,0
img_1732,2
img_1733,0
img_1734,15
img_1735,3
img_1736,2
img_1737,10
img_1738,2
img_1739,0
img_1740,5
img_1741,3
img_1742,0
img_1743,0
img_1744,36
img_1745,1
img_1746,2
img_1747,1
img_1748,0
img_1749,1
img_1750,2
img_1751,3
img_1752,3
img_1753,0
img_1754,3
img_1755,2
img_1756,4
img_1757,0
img_1758,0
img_1759,6
img_1760,3
img_1761,1
img_1762,0
img_1763,10
img_1764,3
img_1765,0
img_1766,1
img_1767,2
img_1768,7
img_1769,0
img_1770,1
img_1771,1
img_1772,0
img_1773,1
img_1774,2
img_1775,1
img_1776,7
img_1777,6
img_1778,0
img_1779,0
img_1780,0
img_1781,1
img_1782,0
img_1783,12
img_1784,11
img_1785,2
img_1786,1
img_1787,0
img_1788,0
img_1789,4
img_1790,5
img_1791,4
img_1792,3
img_1793,0
img_1794,0
img_1795,14
img_1796,7
img_1797,1
img_1798,0
img_1799,2
img_1800,2
img_1801,0
img_1802,0
img_1803,2
img_1804,0
img_1805,0
img_1806,10
img_1807,1
img_1808,3
img_1809,4
img_1810,25
img_1811,4
img_1812,4
img_1813,5
img_1814,7
img_1815,16
img_1816,1
img_1817,0
img_1818,15
img_1819,2
img_1820,6
img_1821,0
img_1822,0
img_1823,0
img_1824,1
img_1825,0
img_1826,1
img_1827,5
img_1828,11
img_1829,18
img_1830,7
img_1831,2
img_1832,0
img_1833,0
img_1834,1
img_1835,0
img_1836,12
img_1837,3
img_1838,1
img_1839,3
img_1840,3
img_1841,20
img_1842,0
img_1843,1
img_1844,6
img_1845,0
img_1846,2
img_1847,0
img_1849,0
img_1850,1
img_1851,0
img_1852,4
img_1853,1
img_1854,1
img_1855,0
img_1856,1
img_1857,2
img_1858,10
img_1859,1
img_1860,4
img_1861,3
img_1862,0
img_1863,4
img_1864,3
img_1865,1
img_1866,2
img_1868,4
img_1869,2
img_1870,0
img_1871,0
img_1872,1
img_1873,0
img_1874,5
img_1875,10
img_1876,1
img_1878,1
img_1879,0
img_1880,6
img_1881,0
img_1882,8
img_1883,12
img_1884,4
img_1885,2
img_1886,2
img_1887,5
img_1888,0
img_1889,4
img_1890,1
img_1891,2
img_1892,1
img_1893,1
img_1894,2
img_1895,0
img_1896,0
img_1897,0
img_1898,1
img_1899,6
img_1900,1
img_1901,4
img_1902,5
img_1903,7
img_1904,3
img_1905,2
img_1906,2
img_1907,0
img_1908,0
img_1909,2
img_1910,2
img_1911,7
img_1912,2
img_1913,0
img_1914,0
img_1915,4
img_1916,0
img_1917,0
img_1918,6
img_1919,2
img_1920,0
img_1921,0
img_1922,8
img_1923,14
img_1924,0
img_1925,0
img_1926,0
img_1927,3
img_1928,0
img_1929,4
img_1930,7
img_1931,1
img_1932,15
img_1933,0
img_1934,22
img_1935,0
img_1936,4
img_1937,24
img_1938,7
img_1939,3
img_1940,1
img_1941,5
img_1942,3
img_1943,3
img_1944,0
img_1945,7
img_1946,7
img_1947,1
img_1948,5
img_1949,1
img_1950,6
img_1951,3
img_1952,0
img_1953,2
img_1954,0
img_1955,5
img_1956,1
img_1957,7
img_1958,9
img_1959,2
img_1960,0
img_1961,0
img_1962,1
img_1963,2
img_1964,1
img_1965,6
img_1966,3
img_1967,0
img_1968,0
img_1969,4
img_1970,1
img_1971,0
img_1972,0
img_1973,2
img_1974,3
img_1975,1
img_1976,4
img_1977,13
img_1978,20
img_1979,4
img_1980,2
img_1981,7
img_1982,0
img_1983,1
img_1984,8
img_1985,0
img_1986,0
img_1987,0
img_1988,1
img_1989,2
img_1990,1
img_1991,1
img_1992,3
img_1993,8
img_1994,3
img_1995,9
img_1996,1
img_1997,1
img_1998,1
img_1999,1
img_2000,2
img_2001,0
img_2002,1
img_2003,2
img_2004,0
img_2005,0
img_2006,6
img_2007,0
img_2008,2
img_2009,29
img_2010,2
img_2011,3
img_2012,13
img_2013,3
img_2014,2
img_2015,2
img_2016,14
img_2017,0
img_2018,2
img_2019,22
img_2020,1
img_2021,0
img_2022,1
img_2023,2
img_2024,3
img_2025,0
img_2026,0
img_2027,0
img_2028,4
img_2029,3
img_2030,0
img_2031,1
img_2032,0
img_2033,2
img_2034,0
img_2035,1
img_2036,18
img_2037,6
img_2038,1
img_2039,6
img_2040,14
img_2041,0
img_2042,2
img_2043,2
img_2044,2
img_2045,2
img_2046,0
img_2047,0
img_2048,1
img_2049,1
img_2050,2
img_2051,0
img_2052,26
img_2053,4
img_2054,2
img_2055,22
img_2056,6
img_2057,1
img_2058,0
img_2059,0
img_2060,1
img_2061,12
img_2062,11
img_2063,2
img_2064,0
img_2065,0
img_2066,3
img_2067,2
img_2068,2
img_2069,0
img_2070,1
img_2071,3
img_2072,5
img_2073,1
img_2074,0
img_2075,0
img_2076,0
img_2077,2
img_2078,0
img_2079,0
img_2080,3
img_2081,1
img_2082,5
img_2083,15
img_2084,2
img_2085,1
img_2086,2
img_2087,4
img_2088,2
img_2089,0
img_2090,2
img_2091,0
img_2092,6
img_2093,1
img_2094,2
img_2095,0
img_2096,21
img_2097,3
img_2098,3
img_2099,2
img_2100,0
img_2101,0
img_2102,15
img_2103,0
img_2104,1
img_2105,0
img_2106,2
img_2107,1
img_2108,1
img_2109,6
img_2110,0
img_2111,0
img_2112,1
img_2113,1
img_2114,4
img_2115,1
img_2116,0
img_2117,1
img_2118,4
img_2119,2
img_2120,2
img_2121,6
img_2122,1
img_2123,0
img_2124,2
img_2125,1
img_2126,19
img_2127,0
img_2128,0
img_2129,1
img_2130,2
img_2131,3
img_2132,1
img_2133,1
img_2134,1
img_2135,0
img_2136,2
img_2137,0
img_2138,1
img_2139,0
img_2140,10
img_2141,0
img_2142,0
img_2143,1
img_2144,9
img_2145,12
img_2146,1
img_2147,0
img_2148,8
img_2149,0
img_2150,1
img_2151,1
img_2152,0
img_2153,2
